TN,TX,TAVG,RH_AVG,SS,RR_lag1,TAVG_lag1,RH_AVG_lag1,SS_lag1,TX_lag1,TN_lag1,RR_rolling_mean_3d_lag1,RR_KAT_ENC
25.0,31.0,26.6,84.0,5.3,1.7,26.8,82.0,5.8,29.4,25.6,1.199999999999995,1
24.5,29.6,27.0,80.0,3.3,14.7,26.6,84.0,5.3,31.0,25.0,5.9666666666666615,1
25.6,29.4,27.1,84.0,10.0,2.6,27.0,80.0,3.3,29.6,24.5,6.333333333333329,4
25.8,30.2,27.7,84.0,9.3,0.0,27.1,84.0,10.0,29.4,25.6,5.766666666666662,1
26.6,31.6,27.8,82.0,9.3,0.2,27.7,84.0,9.3,30.2,25.8,0.9333333333333287,1
26.7,30.4,27.6,82.0,7.4,3.0,27.8,82.0,9.3,31.6,26.6,1.066666666666662,1
26.5,29.9,27.5,85.0,7.2,3.0,27.6,82.0,7.4,30.4,26.7,2.066666666666662,1
26.1,29.8,27.3,78.0,4.8,3.0,27.5,85.0,7.2,29.9,26.5,3.0,1
24.2,29.5,26.2,84.0,4.0,0.5,27.3,78.0,4.8,29.8,26.1,2.166666666666662,4
24.2,29.7,27.6,83.0,8.1,0.0,26.2,84.0,4.0,29.5,24.2,1.1666666666666619,1
26.2,30.6,27.5,80.0,6.2,4.4,27.6,83.0,8.1,29.7,24.2,1.6333333333333286,1
26.2,29.8,27.6,79.0,7.8,0.1,27.5,80.0,6.2,30.6,26.2,1.4999999999999953,4
26.0,29.6,27.3,78.0,7.5,0.0,27.6,79.0,7.8,29.8,26.2,1.4999999999999953,4
23.8,29.4,26.3,82.0,8.9,0.0,27.3,78.0,7.5,29.6,26.0,0.0333333333333286,4
24.6,29.3,26.3,75.0,8.0,0.0,26.3,82.0,8.9,29.4,23.8,0.0,1
23.2,31.0,25.6,75.0,10.0,3.0,26.3,75.0,8.0,29.3,24.6,0.9999999999999952,1
24.0,28.4,26.2,76.0,9.5,3.0,25.6,75.0,10.0,31.0,23.2,1.9999999999999953,4
24.8,28.8,26.0,80.0,10.2,0.0,26.2,76.0,9.5,28.4,24.0,1.9999999999999953,4
24.8,30.0,26.4,85.0,7.5,0.0,26.0,80.0,10.2,28.8,24.8,0.9999999999999952,4
21.4,28.2,23.5,84.0,7.5,0.0,26.4,85.0,7.5,30.0,24.8,0.0,4
22.0,28.4,24.6,84.0,10.0,0.0,23.5,84.0,7.5,28.2,21.4,0.0,1
22.0,28.8,25.6,81.0,9.4,3.0,24.6,84.0,10.0,28.4,22.0,0.9999999999999952,1
22.0,28.4,26.2,78.0,9.0,3.0,25.6,81.0,9.4,28.8,22.0,1.9999999999999953,1
22.0,28.2,24.4,85.0,10.0,3.0,26.2,78.0,9.0,28.4,22.0,3.0,1
22.2,28.2,25.6,84.0,9.2,3.0,24.4,85.0,10.0,28.2,22.0,3.0,1
25.0,28.8,26.2,81.0,1.5,0.6,25.6,84.0,9.2,28.2,22.2,2.1999999999999953,1
20.5,28.4,25.6,83.0,9.0,3.0,26.2,81.0,1.5,28.8,25.0,2.1999999999999953,4
23.6,28.8,25.7,84.0,9.5,0.0,25.6,83.0,9.0,28.4,20.5,1.1999999999999953,1
25.0,27.8,25.5,84.0,9.9,3.0,25.7,84.0,9.5,28.8,23.6,1.9999999999999953,1
25.0,29.3,25.6,86.0,3.2,3.0,25.5,84.0,9.9,27.8,25.0,1.9999999999999953,4
23.2,29.6,25.8,84.0,9.0,0.0,25.6,86.0,3.2,29.3,25.0,1.9999999999999953,4
24.8,29.6,26.4,84.0,9.3,0.0,25.8,84.0,9.0,29.6,23.2,0.9999999999999952,1
25.2,30.0,26.8,88.0,1.4,3.0,26.4,84.0,9.3,29.6,24.8,0.9999999999999952,1
25.6,28.4,26.6,88.0,1.6,2.6,26.8,88.0,1.4,30.0,25.2,1.8666666666666618,1
26.0,29.6,27.3,85.0,2.0,2.4,26.6,88.0,1.6,28.4,25.6,2.666666666666662,1
25.2,30.0,27.1,87.0,5.2,3.3,27.3,85.0,2.0,29.6,26.0,2.766666666666662,1
